imagen,cantidad,rutas
2361-206-29193-78276.jpg,2,\\10.18.3.1\home\img_art\2361-206-29193-78276.jpg | \\10.18.3.1\home\img_art\-101\2361-206-29193-78276.jpg
2362-106-28335-15745.jpg,2,\\10.18.3.1\home\img_art\2362-106-28335-15745.jpg | \\10.18.3.1\home\img_art\-101\2362-106-28335-15745.jpg
2400-139-13958-15787.jpg,2,\\10.18.3.1\home\img_art\2400-139-13958-15787.jpg | \\10.18.3.1\home\img_art\-101\2400-139-13958-15787.jpg
2400-139-13958-72436.jpg,2,\\10.18.3.1\home\img_art\2400-139-13958-72436.jpg | \\10.18.3.1\home\img_art\-101\2400-139-13958-72436.jpg
2400-139-13958-78819.jpg,2,\\10.18.3.1\home\img_art\2400-139-13958-78819.jpg | \\10.18.3.1\home\img_art\-101\2400-139-13958-78819.jpg
2400-164-13958-100003.jpg,2,\\10.18.3.1\home\img_art\2400-164-13958-100003.jpg | \\10.18.3.1\home\img_art\-101\2400-164-13958-100003.jpg
2400-164-13958-72823.jpg,2,\\10.18.3.1\home\img_art\2400-164-13958-72823.jpg | \\10.18.3.1\home\img_art\-101\2400-164-13958-72823.jpg
2400-164-13958-72826.jpg,2,\\10.18.3.1\home\img_art\2400-164-13958-72826.jpg | \\10.18.3.1\home\img_art\-101\2400-164-13958-72826.jpg
2400-364-15212-33300.jpg,2,\\10.18.3.1\home\img_art\2400-364-15212-33300.jpg | \\10.18.3.1\home\img_art\-101\2400-364-15212-33300.jpg
2400-364-15212-43747.jpg,2,\\10.18.3.1\home\img_art\2400-364-15212-43747.jpg | \\10.18.3.1\home\img_art\-101\2400-364-15212-43747.jpg
2400-364-15212-67670.jpg,2,\\10.18.3.1\home\img_art\2400-364-15212-67670.jpg | \\10.18.3.1\home\img_art\-101\2400-364-15212-67670.jpg
2402-737-24995-15745.jpg,2,\\10.18.3.1\home\img_art\2402-737-24995-15745.jpg | \\10.18.3.1\home\img_art\-101\2402-737-24995-15745.jpg
2402-741-26996-72436.jpg,2,\\10.18.3.1\home\img_art\2402-741-26996-72436.jpg | \\10.18.3.1\home\img_art\-101\2402-741-26996-72436.jpg
2402-741-26996-72826.jpg,2,\\10.18.3.1\home\img_art\2402-741-26996-72826.jpg | \\10.18.3.1\home\img_art\-101\2402-741-26996-72826.jpg
2402-741-26996-95333.jpg,2,\\10.18.3.1\home\img_art\2402-741-26996-95333.jpg | \\10.18.3.1\home\img_art\-101\2402-741-26996-95333.jpg
